Data array voltage (V), SRAM cell nfet on current (A/um), SRAM cell nfet off current (A/um), SRAM cell pfet on current UNUSED (A/um), SRAM cell pfet off current UNUSED (A/um), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power, No. banks
0.23, 2.31e-05, 3.6316e-07, 5.593e-07, 7.581e-10, 15034.6, 36233.5, 3.59885, 3.50899, 0.146218, 106.969, 5.5442e-08, 327.977, 110.563, 877.08, 0.326147, 0.24392, 0.927275, 0.233781, 2
0.22, 1.9614e-05, 3.5336e-07, 4.116e-07, 7.2478e-10, 16936.9, 40817.9, 3.8589, 3.76904, 0.145827, 99.5555, 5.39452e-08, 320.564, 110.563, 862.253, 0.310564, 0.230919, 0.927275, 0.237801, 2
0.21, 1.6576e-05, 3.4384e-07, 3.0142e-07, 6.9244e-10, 19130.1, 46103.5, 4.15919, 4.06934, 0.145435, 92.4688, 5.24911e-08, 313.477, 110.563, 848.08, 0.294978, 0.218066, 0.927275, 0.241775, 2
0.2, 1.39258e-05, 3.3432e-07, 2.1994e-07, 6.6122e-10, 21686.4, 52264.1, 4.50978, 4.41993, 0.145044, 85.6261, 5.10371e-08, 306.634, 110.563, 834.395, 0.279245, 0.205241, 0.927275, 0.245741, 2
0.19, 1.16438e-05, 3.2508e-07, 1.5974e-07, 6.307e-10, 24639.7, 59381.7, 4.91532, 4.82546, 0.144653, 79.0955, 4.96259e-08, 300.103, 110.563, 821.333, 0.263561, 0.192603, 0.927275, 0.249649, 2
0.18, 9.6908e-06, 3.1584e-07, 1.1557e-07, 6.0116e-10, 28047.2, 67593.8, 5.38367, 5.29381, 0.144263, 72.8017, 4.82147e-08, 293.81, 110.563, 808.746, 0.247785, 0.180036, 0.927275, 0.253534, 2
0.17, 8.029e-06, 3.0674e-07, 8.33e-08, 5.7232e-10, 31971.6, 77051.6, 5.92347, 5.83361, 0.143872, 66.7752, 4.68249e-08, 287.783, 110.563, 796.693, 0.232033, 0.167631, 0.927275, 0.25737, 2
0.16, 6.6234e-06, 2.9778e-07, 5.9822e-08, 5.4418e-10, 36476.7, 87908.9, 6.54347, 6.45361, 0.143482, 61.0106, 4.54565e-08, 282.019, 110.563, 785.164, 0.216335, 0.155409, 0.927275, 0.261149, 2
0.15, 5.4432e-06, 2.8896e-07, 4.2798e-08, 5.1674e-10, 41611.6, 100284, 7.25021, 7.16036, 0.143092, 55.5025, 4.41094e-08, 276.511, 110.563, 774.147, 0.200725, 0.14339, 0.927275, 0.264865, 2
0.14, 4.4548e-06, 2.8014e-07, 3.0506e-08, 4.8972e-10, 47454.4, 114365, 8.05433, 7.96448, 0.142702, 50.2205, 4.27625e-08, 271.228, 110.563, 763.583, 0.185159, 0.131539, 0.927275, 0.26853, 2
0.13, 3.6316e-06, 2.7146e-07, 2.1658e-08, 4.6326e-10, 54053.3, 130268, 8.96202, 8.87216, 0.142312, 45.1877, 4.14369e-08, 266.196, 110.563, 753.518, 0.169754, 0.119938, 0.927275, 0.272117, 2
0.12, 2.9484e-06, 2.6264e-07, 1.5316e-08, 4.3694e-10, 61457.1, 148112, 9.97941, 9.88956, 0.141923, 40.3558, 4.00899e-08, 261.364, 110.563, 743.854, 0.154405, 0.108505, 0.927275, 0.275652, 2
0.11, 2.3814e-06, 2.5368e-07, 1.07744e-08, 4.109e-10, 69748.9, 168095, 11.1172, 11.0274, 0.141533, 35.7303, 3.87216e-08, 256.738, 110.563, 734.603, 0.13917, 0.0972778, 0.927275, 0.279123, 2
0.1, 1.9152e-06, 2.4472e-07, 7.5376e-09, 3.8472e-10, 78842.9, 190011, 12.3619, 12.272, 0.141144, 31.3342, 3.73533e-08, 252.342, 110.563, 725.811, 0.124174, 0.0863427, 0.927275, 0.282505, 2
