Data array voltage (V), SRAM cell nfet on current (A), SRAM cell nfet off current (A), SRAM cell pfet on current UNUSED (A), SRAM cell pfet off current UNUSED (A), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power
0.61, 0.0004676, 8.6646e-07, 0.0002457, 3.1934e-09, 1969.85, 4747.33, 0.963418, 0.982436, 0.052614, 42.3293, 1.32355e-07, 61.7106, 10.874, 290.339, 0.685932, 0.583171, 0.589264, 0.0882784
0.6, 0.00045094, 8.5008e-07, 0.00023408, 3.087e-09, 2009.14, 4842.02, 0.968546, 0.987563, 0.0524137, 40.8475, 1.29851e-07, 60.2288, 10.874, 284.411, 0.678205, 0.574484, 0.589264, 0.0901181
0.59, 0.00043456, 8.3342e-07, 0.0002226, 2.9848e-09, 2050.12, 4940.79, 0.973898, 0.992916, 0.0522136, 39.3788, 1.27303e-07, 58.7601, 10.874, 278.536, 0.670161, 0.56551, 0.589264, 0.0920189
0.58, 0.00041832, 8.1704e-07, 0.00021112, 2.8854e-09, 2093.61, 5045.61, 0.979589, 0.998607, 0.0520135, 37.9498, 1.24799e-07, 57.3312, 10.874, 272.821, 0.66194, 0.556407, 0.589264, 0.0939468
0.57, 0.00040208, 8.0108e-07, 0.00019964, 2.7888e-09, 2140.62, 5158.89, 0.98576, 1.00478, 0.0518135, 36.5663, 1.22359e-07, 55.9477, 10.874, 267.287, 0.653581, 0.547222, 0.589264, 0.0958919
0.56, 0.00038612, 7.8512e-07, 0.0001883, 2.695e-09, 2189.99, 5277.88, 0.992249, 1.01127, 0.0516137, 35.2084, 1.19919e-07, 54.5898, 10.874, 261.855, 0.644964, 0.537831, 0.589264, 0.0978809
0.55, 0.0003703, 7.6916e-07, 0.00017696, 2.604e-09, 2242.78, 5405.09, 0.999201, 1.01822, 0.0514139, 33.8762, 1.17479e-07, 53.2576, 10.874, 256.526, 0.636082, 0.52823, 0.589264, 0.0999142
0.54, 0.00035462, 7.539e-07, 0.00016576, 2.5158e-09, 2299.36, 5541.46, 1.00667, 1.02569, 0.0512142, 32.5998, 1.15147e-07, 51.9812, 10.874, 251.421, 0.627147, 0.51865, 0.589264, 0.101943
0.53, 0.00033922, 7.3864e-07, 0.00015484, 2.429e-09, 2359.24, 5685.76, 1.01458, 1.0336, 0.0510146, 31.3479, 1.12814e-07, 50.7293, 10.874, 246.413, 0.617945, 0.508868, 0.589264, 0.104015
0.52, 0.00032396, 7.2338e-07, 0.00014392, 2.345e-09, 2423.76, 5841.25, 1.02313, 1.04215, 0.0508151, 30.1205, 1.10481e-07, 49.5019, 10.874, 241.504, 0.608472, 0.498883, 0.589264, 0.106129
0.51, 0.00030884, 7.0826e-07, 0.000133112, 2.2652e-09, 2493.52, 6009.39, 1.0324, 1.05142, 0.0506157, 28.9234, 1.0817e-07, 48.3047, 10.874, 236.715, 0.598769, 0.488746, 0.589264, 0.108276
0.5, 0.000294, 6.937e-07, 0.00012257, 2.1854e-09, 2568.03, 6188.95, 1.04231, 1.06133, 0.0504164, 27.7728, 1.05945e-07, 47.1542, 10.874, 232.113, 0.588979, 0.478609, 0.589264, 0.110423
0.49, 0.0002793, 6.7872e-07, 0.000112238, 2.1098e-09, 2649.12, 6384.39, 1.05313, 1.07215, 0.0502172, 26.6292, 1.03656e-07, 46.0106, 10.874, 227.538, 0.578763, 0.468127, 0.589264, 0.112643
0.48, 0.00026488, 6.643e-07, 0.000102186, 2.0356e-09, 2736.33, 6594.56, 1.06478, 1.0838, 0.0500181, 25.5311, 1.01452e-07, 44.9125, 10.874, 223.146, 0.568464, 0.457658, 0.589264, 0.11486
0.47, 0.0002506, 6.5016e-07, 9.2428e-05, 1.9628e-09, 2832, 6825.13, 1.0776, 1.09662, 0.0498191, 24.4667, 9.92905e-08, 43.8481, 10.874, 218.888, 0.557988, 0.447109, 0.589264, 0.117095
0.46, 0.00023674, 6.3616e-07, 8.3006e-05, 1.8942e-09, 2934.02, 7070.99, 1.09129, 1.11031, 0.0496202, 23.4302, 9.71511e-08, 42.8115, 10.874, 214.742, 0.547286, 0.436434, 0.589264, 0.119355
0.45, 0.00022302, 6.2216e-07, 7.4004e-05, 1.8256e-09, 3046.81, 7342.82, 1.10646, 1.12548, 0.0494213, 22.416, 9.50116e-08, 41.7974, 10.874, 210.686, 0.536302, 0.425583, 0.589264, 0.121653
0.44, 0.00020958, 6.0858e-07, 6.5422e-05, 1.7598e-09, 3170.15, 7640.06, 1.12309, 1.1421, 0.0492226, 21.4392, 9.29363e-08, 40.8205, 10.874, 206.778, 0.525206, 0.414728, 0.589264, 0.123952
0.43, 0.00019656, 5.9486e-07, 5.7344e-05, 1.6968e-09, 3303.32, 7960.99, 1.14106, 1.16008, 0.0490239, 20.4793, 9.08398e-08, 39.8606, 10.874, 202.939, 0.513772, 0.403655, 0.589264, 0.126297
0.42, 0.00018368, 5.8156e-07, 4.9784e-05, 1.6338e-09, 3452.74, 8321.11, 1.16129, 1.18031, 0.0488254, 19.5555, 8.88074e-08, 38.9368, 10.874, 199.243, 0.502236, 0.392595, 0.589264, 0.12864
0.41, 0.00017122, 5.6854e-07, 4.2798e-05, 1.5736e-09, 3615.82, 8714.12, 1.18341, 1.20242, 0.0486269, 18.6622, 8.68179e-08, 38.0436, 10.874, 195.67, 0.490548, 0.381503, 0.589264, 0.130989
0.4, 0.00015918, 5.5552e-07, 3.6428e-05, 1.5162e-09, 3794.45, 9144.62, 1.20767, 1.22669, 0.0484286, 17.7898, 8.48285e-08, 37.1712, 10.874, 192.181, 0.478592, 0.370273, 0.589264, 0.133367
0.39, 0.00014742, 5.4278e-07, 3.0674e-05, 1.4588e-09, 3994.71, 9627.25, 1.23493, 1.25395, 0.0482303, 16.947, 8.28818e-08, 36.3284, 10.874, 188.81, 0.466496, 0.359029, 0.589264, 0.135748
0.38, 0.000136066, 5.3018e-07, 2.555e-05, 1.4042e-09, 4217.07, 10163.1, 1.26526, 1.28428, 0.0480321, 16.129, 8.09567e-08, 35.5103, 10.874, 185.537, 0.454205, 0.347724, 0.589264, 0.138143
0.37, 0.000125118, 5.1772e-07, 2.1056e-05, 1.35142e-09, 4465.38, 10761.6, 1.2992, 1.31821, 0.047834, 15.3352, 7.9053e-08, 34.7166, 10.874, 182.362, 0.441726, 0.336368, 0.589264, 0.140548
0.36, 0.00011459, 5.054e-07, 1.7164e-05, 1.2999e-09, 4743.87, 11432.7, 1.33732, 1.35634, 0.047636, 14.5655, 7.71707e-08, 33.9468, 10.874, 179.283, 0.429067, 0.324971, 0.589264, 0.142961
0.35, 0.000104524, 4.935e-07, 1.3846e-05, 1.25006e-09, 5056.26, 12185.6, 1.38016, 1.39918, 0.0474381, 13.8273, 7.53526e-08, 33.2086, 10.874, 176.33, 0.416376, 0.313667, 0.589264, 0.145356
0.34, 9.4906e-05, 4.8174e-07, 1.10586e-05, 1.20162e-09, 5409.56, 13037, 1.4287, 1.44772, 0.0472404, 13.1119, 7.35559e-08, 32.4933, 10.874, 173.469, 0.403527, 0.302346, 0.589264, 0.147753
0.33, 8.5778e-05, 4.6984e-07, 8.7486e-06, 1.15458e-09, 5809.18, 14000.1, 1.48369, 1.50271, 0.0470426, 12.4118, 7.1738e-08, 31.7931, 10.874, 170.668, 0.390391, 0.290897, 0.589264, 0.150178
0.32, 7.714e-05, 4.585e-07, 6.86e-06, 1.10908e-09, 6263.94, 15096.1, 1.54637, 1.56539, 0.046845, 11.745, 7.00056e-08, 31.1263, 10.874, 168.001, 0.377333, 0.27964, 0.589264, 0.152562
0.31, 6.902e-05, 4.4716e-07, 5.334e-06, 1.06498e-09, 6782.09, 16344.8, 1.61789, 1.63691, 0.0466475, 11.0964, 6.82732e-08, 30.4778, 10.874, 165.407, 0.364082, 0.268342, 0.589264, 0.154955
0.3, 6.1418e-05, 4.361e-07, 4.116e-06, 1.02228e-09, 7375.69, 17775.4, 1.69995, 1.71896, 0.0464501, 10.4727, 6.65836e-08, 29.8541, 10.874, 162.912, 0.350797, 0.257137, 0.589264, 0.157328
0.29, 5.4362e-05, 4.2518e-07, 3.1528e-06, 9.8084e-10, 8055.26, 19413.2, 1.79401, 1.81303, 0.0462528, 9.86998, 6.49155e-08, 29.2513, 10.874, 160.501, 0.33742, 0.245979, 0.589264, 0.159691
0.28, 4.7838e-05, 4.1426e-07, 2.3982e-06, 9.408e-10, 8838.16, 21300, 1.90252, 1.92153, 0.0460555, 9.28476, 6.32474e-08, 28.6661, 10.874, 158.16, 0.323893, 0.234819, 0.589264, 0.162054
0.27, 4.1846e-05, 4.0376e-07, 1.813e-06, 9.0188e-10, 9742.87, 23480.3, 2.02805, 2.04707, 0.0458584, 8.72612, 6.16435e-08, 28.1075, 10.874, 155.926, 0.310455, 0.223853, 0.589264, 0.164377
0.26, 3.6386e-05, 3.934e-07, 1.3622e-06, 8.6422e-10, 10789.9, 26003.6, 2.1735, 2.19251, 0.0456613, 8.18721, 6.0061e-08, 27.5686, 10.874, 153.77, 0.296976, 0.212972, 0.589264, 0.166681
0.25, 3.1458e-05, 3.8304e-07, 1.0178e-06, 8.2768e-10, 12000.1, 28920.3, 2.34178, 2.3608, 0.0454644, 7.6649, 5.84786e-08, 27.0463, 10.874, 151.681, 0.2834, 0.202132, 0.589264, 0.168977
0.24, 2.7034e-05, 3.7296e-07, 7.5642e-07, 7.924e-10, 13405.3, 32306.9, 2.53735, 2.55637, 0.0452675, 7.16457, 5.69389e-08, 26.5459, 10.874, 149.68, 0.269893, 0.191464, 0.589264, 0.171236
0.23, 2.31e-05, 3.6316e-07, 5.593e-07, 7.581e-10, 15034.6, 36233.5, 2.76429, 2.78331, 0.0450708, 6.68554, 5.5442e-08, 26.0669, 10.874, 147.764, 0.256476, 0.180979, 0.589264, 0.173457
0.22, 1.9614e-05, 3.5336e-07, 4.116e-07, 7.2478e-10, 16936.9, 40817.9, 3.02946, 3.04848, 0.0448741, 6.22222, 5.39452e-08, 25.6036, 10.874, 145.91, 0.243021, 0.170577, 0.589264, 0.17566
0.21, 1.6576e-05, 3.4384e-07, 3.0142e-07, 6.9244e-10, 19130.1, 46103.5, 3.33536, 3.35438, 0.0446775, 5.7793, 5.24911e-08, 25.1607, 10.874, 144.139, 0.229696, 0.160382, 0.589264, 0.177819
0.2, 1.39258e-05, 3.3432e-07, 2.1994e-07, 6.6122e-10, 21686.4, 52264.1, 3.69211, 3.71113, 0.044481, 5.35163, 5.10371e-08, 24.733, 10.874, 142.428, 0.216376, 0.150297, 0.589264, 0.179955
0.19, 1.16438e-05, 3.2508e-07, 1.5974e-07, 6.307e-10, 24639.7, 59381.7, 4.10446, 4.12348, 0.0442847, 4.94347, 4.96259e-08, 24.3248, 10.874, 140.795, 0.203227, 0.140444, 0.589264, 0.182042
