Data array voltage (V), SRAM cell nfet on current (A/um), SRAM cell nfet off current (A/um), SRAM cell pfet on current UNUSED (A/um), SRAM cell pfet off current UNUSED (A/um), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power, No. banks
0.51, 0.00030884, 7.0826e-07, 0.000133112, 2.2652e-09, 2493.52, 6009.39, 2.66769, 2.20833, 0.323539, 925.547, 1.0817e-07, 1228.11, 232.833, 5843.78, 0.753634, 0.633526, 0.880653, 0.140351, 4
0.5, 0.000294, 6.937e-07, 0.00012257, 2.1854e-09, 2568.03, 6188.95, 2.6865, 2.22714, 0.322762, 888.73, 1.05945e-07, 1191.3, 232.833, 5696.51, 0.74602, 0.624052, 0.880653, 0.143979, 4
0.49, 0.0002793, 6.7872e-07, 0.000112238, 2.1098e-09, 2649.12, 6384.39, 2.70705, 2.24769, 0.321985, 852.135, 1.03656e-07, 1154.7, 232.833, 5550.13, 0.737971, 0.614137, 0.880653, 0.147777, 4
0.48, 0.00026488, 6.643e-07, 0.000102186, 2.0356e-09, 2736.33, 6594.56, 2.72921, 2.26984, 0.321209, 816.996, 1.01452e-07, 1119.56, 232.833, 5409.58, 0.729747, 0.604111, 0.880653, 0.151616, 4
0.47, 0.0002506, 6.5016e-07, 9.2428e-05, 1.9628e-09, 2832, 6825.13, 2.75361, 2.29425, 0.320432, 782.935, 9.92905e-08, 1085.5, 232.833, 5273.33, 0.721266, 0.593883, 0.880653, 0.155533, 4
0.46, 0.00023674, 6.3616e-07, 8.3006e-05, 1.8942e-09, 2934.02, 7070.99, 2.77967, 2.32031, 0.319656, 749.765, 9.71511e-08, 1052.33, 232.833, 5140.65, 0.712481, 0.583401, 0.880653, 0.159548, 4
0.45, 0.00022302, 6.2216e-07, 7.4004e-05, 1.8256e-09, 3046.81, 7342.82, 2.8086, 2.34924, 0.31888, 717.313, 9.50116e-08, 1019.88, 232.833, 5010.85, 0.703332, 0.572609, 0.880653, 0.163681, 4
0.44, 0.00020958, 6.0858e-07, 6.5422e-05, 1.7598e-09, 3170.15, 7640.06, 2.84033, 2.38097, 0.318104, 686.053, 9.29363e-08, 988.619, 232.833, 4885.81, 0.693951, 0.561671, 0.880653, 0.16787, 4
0.43, 0.00019656, 5.9486e-07, 5.7344e-05, 1.6968e-09, 3303.32, 7960.99, 2.87466, 2.4153, 0.317328, 655.337, 9.08398e-08, 957.902, 232.833, 4762.94, 0.684138, 0.550363, 0.880653, 0.1722, 4
0.42, 0.00018368, 5.8156e-07, 4.9784e-05, 1.6338e-09, 3452.74, 8321.11, 2.91334, 2.45398, 0.316553, 625.775, 8.88074e-08, 928.341, 232.833, 4644.69, 0.674079, 0.538916, 0.880653, 0.176584, 4
0.41, 0.00017122, 5.6854e-07, 4.2798e-05, 1.5736e-09, 3615.82, 8714.12, 2.95565, 2.49629, 0.315777, 597.191, 8.68179e-08, 899.756, 232.833, 4530.35, 0.663725, 0.527279, 0.880653, 0.181041, 4
0.4, 0.00015918, 5.5552e-07, 3.6428e-05, 1.5162e-09, 3794.45, 9144.62, 3.00211, 2.54274, 0.315002, 569.274, 8.48285e-08, 871.84, 232.833, 4418.69, 0.652958, 0.515333, 0.880653, 0.185616, 4
0.39, 0.00014742, 5.4278e-07, 3.0674e-05, 1.4588e-09, 3994.71, 9627.25, 3.05436, 2.595, 0.314227, 542.305, 8.28818e-08, 844.871, 232.833, 4310.81, 0.64188, 0.503205, 0.880653, 0.190261, 4
0.38, 0.000136066, 5.3018e-07, 2.555e-05, 1.4042e-09, 4217.07, 10163.1, 3.11254, 2.65317, 0.313453, 516.127, 8.09567e-08, 818.692, 232.833, 4206.1, 0.630428, 0.490836, 0.880653, 0.194998, 4
0.37, 0.000125118, 5.1772e-07, 2.1056e-05, 1.35142e-09, 4465.38, 10761.6, 3.17767, 2.71831, 0.312678, 490.727, 7.9053e-08, 793.292, 232.833, 4104.5, 0.618595, 0.478233, 0.880653, 0.199825, 4
0.36, 0.00011459, 5.054e-07, 1.7164e-05, 1.2999e-09, 4743.87, 11432.7, 3.25092, 2.79155, 0.311904, 466.096, 7.71707e-08, 768.661, 232.833, 4005.97, 0.606373, 0.4654, 0.880653, 0.204739, 4
0.35, 0.000104524, 4.935e-07, 1.3846e-05, 1.25006e-09, 5056.26, 12185.6, 3.33327, 2.87391, 0.311129, 442.472, 7.53526e-08, 745.038, 232.833, 3911.48, 0.593893, 0.452486, 0.880653, 0.209685, 4
0.34, 9.4906e-05, 4.8174e-07, 1.10586e-05, 1.20162e-09, 5409.56, 13037, 3.42666, 2.96729, 0.310355, 419.582, 7.35559e-08, 722.147, 232.833, 3819.92, 0.58102, 0.439362, 0.880653, 0.214711, 4
